scenario,algorithm,requested_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,runs,error_runs,attack_runs,observable_attack_runs,detected_runs,detection_rate_total,detection_rate_observable,mean_detection_e2e_ms,p95_detection_e2e_ms,mean_detection_e2e_simulated_ms,p95_detection_e2e_simulated_ms,mean_detection_logic_ms,p95_detection_logic_ms,mean_detection_logic_wall_ms,p95_detection_logic_wall_ms,mean_attack_to_evidence_wall_ms,p95_attack_to_evidence_wall_ms,mean_background_throughput_per_sec,mean_background_peak_memory_kib,total_evidence_count
equivocation,aimer,3,2,5,0,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,20.564433333333334,22.52035,20.564433333333334,22.52035,52.29513333333333,55.75231000000001,,0.0,6
equivocation,aimer,3,2,5,50,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,20.131600000000002,21.00331,20.131600000000002,21.00331,50.15613333333334,51.481260000000006,,0.0,6
equivocation,haetae,3,2,5,0,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,2.8158666666666665,3.67282,2.8158666666666665,3.67282,12.9512,16.84029,,0.0,6
equivocation,haetae,3,2,5,50,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,5.720400000000001,9.235179999999998,5.720400000000001,9.235179999999998,22.620666666666665,30.68828,,0.0,6
