scenario,algorithm,requested_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,runs,error_runs,attack_runs,observable_attack_runs,detected_runs,detection_rate_total,detection_rate_observable,mean_detection_e2e_ms,p95_detection_e2e_ms,mean_detection_e2e_simulated_ms,p95_detection_e2e_simulated_ms,mean_detection_logic_ms,p95_detection_logic_ms,mean_detection_logic_wall_ms,p95_detection_logic_wall_ms,mean_attack_to_evidence_wall_ms,p95_attack_to_evidence_wall_ms,mean_background_throughput_per_sec,mean_background_peak_memory_kib,total_evidence_count
equivocation,aimer,3,2,5,0,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,20.42086666666667,22.77887,20.42086666666667,22.77887,59.155300000000004,72.53556999999999,,0.0,6
equivocation,aimer,3,2,5,50,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,20.444966666666666,21.026369999999996,20.444966666666666,21.026369999999996,51.30173333333334,53.33887,,0.0,6
equivocation,haetae,3,2,5,0,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,4.8318,6.630909999999999,4.8318,6.630909999999999,28.591933333333333,31.03916,,0.0,6
equivocation,haetae,3,2,5,50,0,0.0,0.0,0.0,50,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,5.458500000000001,7.05185,5.458500000000001,7.05185,22.59736666666667,32.98431,,0.0,6
