run_id,status,scenario,algorithm,seed,requested_vehicle_count,observed_sumo_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,observable_attack,conflict_detected,evidence_generated,evidence_count,detection_e2e_ms,detection_logic_ms,total_wall_ms,signer_setup_ms,background_commitments,background_accepted,background_elapsed_ms,background_throughput_per_sec,background_peak_memory_kib,gossip_sent,gossip_delivered,gossip_dropped,gossip_duplicated,error_type,error,result_file
20260725T024753_883870Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,14.6499,0.024,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00001.json
20260725T024756_841572Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,12.0781,0.0222,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00002.json
20260725T024759_464472Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,11.9583,0.0227,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00003.json
20260725T024802_011461Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,2,50,0,11.7231,0.018,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00004.json
20260725T024804_580370Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,1,50,0,19.6571,0.0192,0,0,0.0,,0.0,2,1,1,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00005.json
20260725T024807_215810Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,2,50,0,12.5024,0.0212,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00006.json
20260725T024810_020619Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,14.4333,0.0379,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00007.json
20260725T024812_743644Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,12.6684,0.0203,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00008.json
20260725T024815_019588Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,13.2755,0.0236,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00009.json
20260725T024818_103856Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,2,150,0,11.703,0.0196,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T024753Z\runs\run_00010.json
