run_id,status,scenario,algorithm,seed,requested_vehicle_count,observed_sumo_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,observable_attack,conflict_detected,evidence_generated,evidence_count,detection_e2e_ms,detection_logic_ms,total_wall_ms,signer_setup_ms,background_commitments,background_accepted,background_elapsed_ms,background_throughput_per_sec,background_peak_memory_kib,gossip_sent,gossip_delivered,gossip_dropped,gossip_duplicated,error_type,error,result_file
20260725T025733_139045Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,10.5159,0.0146,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00001.json
20260725T025735_825792Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,14.2773,0.0172,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00002.json
20260725T025738_216376Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,10.2311,0.0156,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00003.json
20260725T025740_959500Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,2,50,0,30.9357,0.0455,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00004.json
20260725T025743_184015Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,1,50,0,44.3443,0.0262,0,0,0.0,,0.0,2,1,1,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00005.json
20260725T025745_570550Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,2,50,0,17.9887,0.0266,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00006.json
20260725T025748_264598Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,14.7502,0.0236,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00007.json
20260725T025751_293540Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,14.3366,0.0335,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00008.json
20260725T025754_194440Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,13.2309,0.0198,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00009.json
20260725T025756_971703Z_equivocation_mock_seed1,PASS,equivocation,mock,1,3,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,2,150,0,12.4032,0.0235,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00010.json
20260725T025759_692053Z_equivocation_mock_seed2,PASS,equivocation,mock,2,3,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,1,150,0,11.1318,0.0201,0,0,0.0,,0.0,2,1,1,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00011.json
20260725T025802_074242Z_equivocation_mock_seed3,PASS,equivocation,mock,3,3,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,2,150,0,12.9441,0.02,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00012.json
20260725T025804_221930Z_equivocation_mock_seed1,PASS,equivocation,mock,1,10,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,49.8867,0.0171,7,7,40.6079,172.38025113340015,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00013.json
20260725T025806_999368Z_equivocation_mock_seed2,PASS,equivocation,mock,2,10,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,79.9617,0.0439,7,7,67.0837,104.34725574170776,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00014.json
20260725T025809_593227Z_equivocation_mock_seed3,PASS,equivocation,mock,3,10,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,32.6627,0.0089,7,7,27.0466,258.8125679382991,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00015.json
20260725T025811_470255Z_equivocation_mock_seed1,PASS,equivocation,mock,1,10,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,2,50,0,28.7949,0.0138,7,7,20.7681,337.05538783037446,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00016.json
20260725T025813_538671Z_equivocation_mock_seed2,PASS,equivocation,mock,2,10,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,1,50,0,22.1663,0.0092,7,7,16.9947,411.8931196196461,20.7626953125,2,1,1,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00017.json
20260725T025815_506653Z_equivocation_mock_seed3,PASS,equivocation,mock,3,10,3,2,5,0,0,0.05,0.0,0.0,50,True,True,True,2,50,0,31.242,0.0093,7,7,26.1621,267.5626192087027,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00018.json
20260725T025817_580650Z_equivocation_mock_seed1,PASS,equivocation,mock,1,10,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,48.5377,0.0165,7,7,37.9074,184.66051483351535,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00019.json
20260725T025820_086016Z_equivocation_mock_seed2,PASS,equivocation,mock,2,10,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,79.9131,0.1161,7,7,66.7188,104.91795415984701,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00020.json
20260725T025822_682653Z_equivocation_mock_seed3,PASS,equivocation,mock,3,10,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,55.0587,0.0176,7,7,41.5237,168.5784262963079,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00021.json
20260725T025825_136589Z_equivocation_mock_seed1,PASS,equivocation,mock,1,10,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,2,150,0,76.9509,0.0222,7,7,61.8801,113.12198913705699,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00022.json
20260725T025828_165884Z_equivocation_mock_seed2,PASS,equivocation,mock,2,10,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,1,150,0,31.5273,0.0085,7,7,26.536,263.79258365993365,20.7626953125,2,1,1,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00023.json
20260725T025830_502017Z_equivocation_mock_seed3,PASS,equivocation,mock,3,10,3,2,5,50,0,0.05,0.0,0.0,50,True,True,True,2,150,0,44.6923,0.0131,7,7,36.2083,193.3258396555486,20.7626953125,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_20260725T025732Z\runs\run_00024.json
