run_id,status,scenario,algorithm,seed,requested_vehicle_count,observed_sumo_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,observable_attack,conflict_detected,evidence_generated,evidence_count,detection_e2e_ms,detection_e2e_simulated_ms,detection_logic_ms,detection_logic_wall_ms,attack_to_evidence_wall_ms,total_wall_ms,signer_setup_ms,background_commitments,background_accepted,background_elapsed_ms,background_throughput_per_sec,background_peak_memory_kib,gossip_sent,gossip_delivered,gossip_dropped,gossip_duplicated,error_type,error,result_file
20260725T031404_157230Z_equivocation_haetae_seed1,PASS,equivocation,haetae,1,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,50,6.8946,6.8946,27.9275,111.6443,20.8624,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00001.json
20260725T031407_304138Z_equivocation_haetae_seed2,PASS,equivocation,haetae,2,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,50,3.3431,3.3431,26.4634,114.004,21.6145,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00002.json
20260725T031410_239029Z_equivocation_haetae_seed3,PASS,equivocation,haetae,3,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,50,4.2577,4.2577,31.3849,105.5552,23.4992,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00003.json
20260725T031412_903024Z_equivocation_haetae_seed1,PASS,equivocation,haetae,1,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,150,7.3204,7.3204,34.5463,102.9784,15.5293,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00004.json
20260725T031415_540270Z_equivocation_haetae_seed2,PASS,equivocation,haetae,2,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,150,4.6349,4.6349,18.9264,96.2297,25.0641,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00005.json
20260725T031418_964227Z_equivocation_haetae_seed3,PASS,equivocation,haetae,3,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,150,4.4202,4.4202,14.3194,42.4871,8.7026,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00006.json
20260725T031421_267287Z_equivocation_aimer_seed1,PASS,equivocation,aimer,1,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,50,18.7379,18.7379,53.0521,135.2504,5.5141,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00007.json
20260725T031423_605149Z_equivocation_aimer_seed2,PASS,equivocation,aimer,2,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,50,19.3667,19.3667,49.7134,137.1387,9.1025,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00008.json
20260725T031426_170338Z_equivocation_aimer_seed3,PASS,equivocation,aimer,3,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,50,23.158,23.158,74.7004,233.2819,11.1464,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00009.json
20260725T031428_857057Z_equivocation_aimer_seed1,PASS,equivocation,aimer,1,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,150,20.1189,20.1189,50.5837,141.7045,9.2856,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00010.json
20260725T031431_355980Z_equivocation_aimer_seed2,PASS,equivocation,aimer,2,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,150,20.0888,20.0888,49.6765,134.9203,8.1891,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00011.json
20260725T031433_928935Z_equivocation_aimer_seed3,PASS,equivocation,aimer,3,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,150,21.1272,21.1272,53.645,142.9553,8.1744,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T031403Z\runs\run_00012.json
