run_id,status,scenario,algorithm,seed,requested_vehicle_count,observed_sumo_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,observable_attack,conflict_detected,evidence_generated,evidence_count,detection_e2e_ms,detection_logic_ms,total_wall_ms,signer_setup_ms,background_commitments,background_accepted,background_elapsed_ms,background_throughput_per_sec,background_peak_memory_kib,gossip_sent,gossip_delivered,gossip_dropped,gossip_duplicated,error_type,error,result_file
20260725T025020_934991Z_equivocation_haetae_seed1,PASS,equivocation,haetae,1,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,147.0686,79.4276,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00001.json
20260725T025023_477083Z_equivocation_haetae_seed2,PASS,equivocation,haetae,2,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,85.1114,15.0066,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00002.json
20260725T025026_143303Z_equivocation_haetae_seed3,PASS,equivocation,haetae,3,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,64.9764,13.6678,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00003.json
20260725T025028_755603Z_equivocation_haetae_seed1,PASS,equivocation,haetae,1,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,81.6084,16.8688,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00004.json
20260725T025031_186746Z_equivocation_haetae_seed2,PASS,equivocation,haetae,2,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,55.3453,10.3042,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00005.json
20260725T025033_584993Z_equivocation_haetae_seed3,PASS,equivocation,haetae,3,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,132.9608,19.0645,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00006.json
20260725T025036_398537Z_equivocation_aimer_seed1,PASS,equivocation,aimer,1,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,232.5243,62.6467,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00007.json
20260725T025039_546338Z_equivocation_aimer_seed2,PASS,equivocation,aimer,2,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,88.7254,4.6587,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00008.json
20260725T025042_160363Z_equivocation_aimer_seed3,PASS,equivocation,aimer,3,3,3,2,5,0,0,0.0,0.0,0.0,50,True,True,True,2,50,0,138.4819,8.2794,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00009.json
20260725T025044_764945Z_equivocation_aimer_seed1,PASS,equivocation,aimer,1,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,115.528,4.5143,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00010.json
20260725T025047_461265Z_equivocation_aimer_seed2,PASS,equivocation,aimer,2,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,130.3611,6.2875,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00011.json
20260725T025049_737044Z_equivocation_aimer_seed3,PASS,equivocation,aimer,3,3,3,2,5,50,0,0.0,0.0,0.0,50,True,True,True,2,150,0,138.6527,8.5589,0,0,0.0,,0.0,2,2,0,0,,,C:\Users\wah43\secv2x\artifacts\sumo\sweeps\pilot_kpqc_20260725T025020Z\runs\run_00012.json
